"Piezo Voltage (V)";"Fast In 3 (V)";"Fast In 4 (V)";
42.172821;0.005639411;0.045355015;
42.173306;0.0091753565;0.045807801;
42.173801;0.0091890553;0.044052426;
42.17429;0.0071719396;0.041991033;
42.174786;0.004738485;0.041381937;
42.17527;0.0036323247;0.037839387;
42.175766;0.0029537559;0.039652247;
42.176254;0.0028231302;0.037949465;
42.17675;0.0021763616;0.035412293;
42.177235;0.0030919649;0.03419948;
42.177731;0.0055992939;0.033922572;
42.178219;0.0017512165;0.031989604;
42.178715;0.0019848261;0.03041329;
42.179199;0.0010623736;0.028712954;
42.179695;0.0020486712;0.027340651;
42.180183;0.00085151341;0.026897158;
42.180679;0.00036643696;0.027225435;
42.181164;0.0010623736;0.026216878;
42.181652;9.0508465e-06;0.024178479;
42.182148;-0.00021037103;0.024792714;
42.182644;-0.00093810802;0.022102412;
42.183128;-0.00080479146;0.024386404;
42.183624;-0.00064456702;0.023421388;
42.184113;-0.0011247512;0.022929464;
42.184608;-0.0010215226;0.022381276;
42.185093;-0.0013745056;0.024217619;
42.185589;-0.0010606614;0.022803973;
42.186077;-0.0014246522;0.023161115;
42.186573;-0.0013727932;0.02258333;
42.187057;-0.00075733569;0.02241699;
42.187546;-0.0020043955;0.022473985;
42.188042;-0.0021088473;0.021704175;
42.188538;-0.0019664799;0.019977909;
42.189022;-0.0019266072;0.019660885;
42.189518;-0.0023573786;0.01868804;
42.190006;-0.0025452448;0.018519988;
42.190502;-0.0026457824;0.017809864;
42.190987;-0.0027822792;0.019803986;
42.191483;-0.0030834032;0.014193439;
42.191971;-0.0028886877;0.015968628;
42.192467;-0.0030714169;0.013648677;
42.192951;-0.0037441149;0.013854644;
42.193447;-0.0036037045;0.01340039;
42.193935;-0.0029559575;0.01359486;
42.194431;-0.003382815;0.015041528;
42.194916;-0.0035574718;0.01296864;
42.195412;-0.0034862882;0.010935624;
42.1959;-0.0034473939;0.011417765;
42.196396;-0.003846365;0.013162621;
42.19688;-0.0038179895;0.011958859;
42.197376;-0.0035953876;0.011709104;
42.197865;-0.0032081581;0.01129619;
42.19836;-0.0041797785;0.012340462;
42.198845;-0.0032661324;0.012110277;
42.199341;-0.0039469027;0.013795692;
42.199829;-0.0039850632;0.011104166;
42.200325;-0.0040308065;0.012503132;
42.200809;-0.0040606498;0.010510968;
