in s,C1 in V
-2.9802411E+01,6.46973E-02
-2.9801952E+01,5.22559E-02
-2.9801493E+01,4.51465E-02
-2.9801034E+01,6.11426E-02
-2.9800575E+01,5.04785E-02
-2.9800116E+01,5.58105E-02
-2.9799657E+01,5.40332E-02
-2.9799198E+01,5.58105E-02
-2.9798739E+01,5.04785E-02
-2.9798280E+01,5.93652E-02
-2.9797821E+01,6.46973E-02
-2.9797362E+01,5.93652E-02
-2.9796903E+01,7.00293E-02
-2.9796444E+01,6.11426E-02
-2.9795985E+01,5.93652E-02
-2.9795526E+01,5.40332E-02
-2.9795067E+01,5.75879E-02
-2.9794608E+01,4.51465E-02
-2.9794149E+01,5.75879E-02
-2.9793690E+01,5.40332E-02
-2.9793231E+01,5.75879E-02
-2.9792772E+01,6.82520E-02
-2.9792313E+01,5.93652E-02
-2.9791854E+01,7.53613E-02
-2.9791395E+01,5.93652E-02
-2.9790936E+01,7.53613E-02
-2.9790477E+01,6.29199E-02
-2.9790018E+01,5.40332E-02
-2.9789559E+01,5.75879E-02
-2.9789100E+01,6.29199E-02
-2.9788641E+01,6.64746E-02
-2.9788182E+01,5.58105E-02
-2.9787723E+01,5.75879E-02
-2.9787264E+01,6.29199E-02
-2.9786805E+01,5.58105E-02
-2.9786346E+01,6.11426E-02
-2.9785887E+01,7.18066E-02
-2.9785428E+01,6.29199E-02
-2.9784969E+01,6.11426E-02
-2.9784510E+01,7.00293E-02
-2.9784051E+01,6.46973E-02
-2.9783592E+01,6.82520E-02
-2.9783133E+01,6.82520E-02
-2.9782674E+01,7.35840E-02
-2.9782215E+01,7.18066E-02
-2.9781756E+01,6.11426E-02
-2.9781297E+01,6.82520E-02
-2.9780838E+01,5.40332E-02
-2.9780379E+01,5.93652E-02
-2.9779920E+01,5.22559E-02
-2.9779461E+01,5.75879E-02
-2.9779002E+01,6.64746E-02
-2.9778543E+01,6.29199E-02
-2.9778084E+01,6.11426E-02
-2.9777625E+01,5.58105E-02
-2.9777166E+01,5.40332E-02
-2.9776707E+01,5.58105E-02
-2.9776248E+01,7.89160E-02
-2.9775789E+01,6.29199E-02
-2.9775330E+01,5.93652E-02
-2.9774871E+01,6.46973E-02
-2.9774412E+01,5.58105E-02
-2.9773953E+01,6.29199E-02
-2.9773494E+01,6.29199E-02
-2.9773035E+01,5.22559E-02
-2.9772576E+01,7.18066E-02
-2.9772117E+01,7.18066E-02
-2.9771658E+01,5.93652E-02
-2.9771199E+01,5.22559E-02
-2.9770740E+01,7.00293E-02
-2.9770281E+01,4.87012E-02
-2.9769822E+01,5.58105E-02
-2.9769363E+01,4.87012E-02
-2.9768904E+01,7.53613E-02
-2.9768445E+01,6.11426E-02
