in s,C1 in V
-5.9631394E+00,6.59180E-02
-5.9630477E+00,5.41992E-02
-5.9629560E+00,6.49414E-02
-5.9628644E+00,6.59180E-02
-5.9627727E+00,5.41992E-02
-5.9626811E+00,6.10352E-02
-5.9625894E+00,6.78711E-02
-5.9624978E+00,6.00586E-02
-5.9624061E+00,6.29883E-02
-5.9623145E+00,6.88477E-02
-5.9622228E+00,5.61523E-02
-5.9621311E+00,6.49414E-02
-5.9620395E+00,5.90820E-02
-5.9619478E+00,6.39648E-02
-5.9618562E+00,6.39648E-02
-5.9617645E+00,6.00586E-02
-5.9616729E+00,6.00586E-02
-5.9615812E+00,4.93164E-02
-5.9614896E+00,5.61523E-02
-5.9613979E+00,6.00586E-02
-5.9613062E+00,5.81055E-02
-5.9612146E+00,5.81055E-02
-5.9611229E+00,6.00586E-02
-5.9610313E+00,6.49414E-02
-5.9609396E+00,6.78711E-02
-5.9608480E+00,5.71289E-02
-5.9607563E+00,6.39648E-02
-5.9606646E+00,5.81055E-02
-5.9605730E+00,6.29883E-02
-5.9604813E+00,6.29883E-02
-5.9603897E+00,6.00586E-02
-5.9602980E+00,6.20117E-02
-5.9602064E+00,6.10352E-02
-5.9601147E+00,6.20117E-02
-5.9600231E+00,5.51758E-02
-5.9599314E+00,6.29883E-02
-5.9598397E+00,5.61523E-02
-5.9597481E+00,6.29883E-02
-5.9596564E+00,6.88477E-02
-5.9595648E+00,5.41992E-02
-5.9594731E+00,5.81055E-02
-5.9593815E+00,6.20117E-02
-5.9592898E+00,6.00586E-02
-5.9591982E+00,6.29883E-02
-5.9591065E+00,6.39648E-02
-5.9590148E+00,5.32227E-02
-5.9589232E+00,5.22461E-02
-5.9588315E+00,5.51758E-02
-5.9587399E+00,6.59180E-02
-5.9586482E+00,5.32227E-02
-5.9585566E+00,6.29883E-02
-5.9584649E+00,6.10352E-02
-5.9583732E+00,5.61523E-02
-5.9582816E+00,6.20117E-02
-5.9581899E+00,6.10352E-02
-5.9580983E+00,5.81055E-02
-5.9580066E+00,5.90820E-02
-5.9579150E+00,6.20117E-02
-5.9578233E+00,6.39648E-02
-5.9577317E+00,6.20117E-02
-5.9576400E+00,6.10352E-02
-5.9575483E+00,5.61523E-02
-5.9574567E+00,5.81055E-02
-5.9573650E+00,5.90820E-02
-5.9572734E+00,6.49414E-02
-5.9571817E+00,6.10352E-02
-5.9570901E+00,5.90820E-02
-5.9569984E+00,6.39648E-02
-5.9569068E+00,6.49414E-02
-5.9568151E+00,5.71289E-02
-5.9567234E+00,6.29883E-02
-5.9566318E+00,6.59180E-02
-5.9565401E+00,6.10352E-02
-5.9564485E+00,6.10352E-02
-5.9563568E+00,5.90820E-02
-5.9562652E+00,5.71289E-02
-5.9561735E+00,5.61523E-02
-5.9560818E+00,6.29883E-02
-5.9559902E+00,6.00586E-02
-5.9558985E+00,6.00586E-02
-5.9558069E+00,6.29883E-02
-5.9557152E+00,6.10352E-02
-5.9556236E+00,5.61523E-02
-5.9555319E+00,5.61523E-02
-5.9554403E+00,5.81055E-02
-5.9553486E+00,7.17773E-02
-5.9552569E+00,5.90820E-02
-5.9551653E+00,5.32227E-02
-5.9550736E+00,6.88477E-02
-5.9549820E+00,6.20117E-02
-5.9548903E+00,6.20117E-02
-5.9547987E+00,6.39648E-02
-5.9547070E+00,6.49414E-02
-5.9546154E+00,5.61523E-02
-5.9545237E+00,6.29883E-02
-5.9544320E+00,6.29883E-02
-5.9543404E+00,5.51758E-02
-5.9542487E+00,5.51758E-02
-5.9541571E+00,5.61523E-02
-5.9540654E+00,5.81055E-02
-5.9539738E+00,6.68945E-02
-5.9538821E+00,6.88477E-02
-5.9537904E+00,6.20117E-02
-5.9536988E+00,5.71289E-02
-5.9536071E+00,5.81055E-02
-5.9535155E+00,5.81055E-02
-5.9534238E+00,6.88477E-02
-5.9533322E+00,5.71289E-02
-5.9532405E+00,5.71289E-02
-5.9531489E+00,6.29883E-02
-5.9530572E+00,6.29883E-02
-5.9529655E+00,6.39648E-02
-5.9528739E+00,5.71289E-02
-5.9527822E+00,5.61523E-02
-5.9526906E+00,6.29883E-02
-5.9525989E+00,7.27539E-02
-5.9525073E+00,5.81055E-02
-5.9524156E+00,5.71289E-02
-5.9523240E+00,6.78711E-02
-5.9522323E+00,6.29883E-02
-5.9521406E+00,5.51758E-02
-5.9520490E+00,5.90820E-02
-5.9519573E+00,5.51758E-02
-5.9518657E+00,6.00586E-02
